Course,Title,Description
"A,RESEC 212",Econometrics: Multiple Equation Estimation,"Introduction to the estimation and testing of economic models. Includes analysis of the general linear model, asymptotic theory, instrumental variable, and the generalized method of moments. In addition, a survey of time series, analysis, limited dependent variables."""
"A,RESEC 242",Quantitative Policy Analysis,"Production versus predatory government behavior, rent seeking, social waste, and their trade-offs with the provision of growth-promoting public goods. Three failure types are distinguished: market, government, and organizational. The roles of public versus special interests are modeled to determine degree and extent of organizational failures in collective group behavior. Alternative frameworks are used to evaluate various types of policy reform."""
"A,RESEC 262",Non-market Valuation,"The economic concept of value; historical evolution of market and non-market valuation; revealed preference methods: single site demand, multi-site demand, corner solution models, and valuation of quality changes; averting behavior; the hedonic method; contingent valuation; other stated preference methods: ranking, choice, conjoint analysis; the value of life and safety; sampling and questionnaire design for valuation surveys."""
"A,RESEC 264",Empirical Energy and Environmental Economics,"This course is designed to help prepare graduate students to conduct empirical research in energy and environmental economics. The course has two broad objectives. The first is to develop an in-depth understanding of specific empirical methods and research designs that are routinely used in the field of energy and environmental economics. The second is to familiarize students with some of the economic theories and institutions that are most relevant to empirical work in this area."""
ANTHRO 135,Paleoethnobotany: Archaeological Methods and Laboratory Techniques,"An introduction to the basic approaches and techniques in archaeobotanical analysis. A series of different data types and their unique approaches will be discussed, including phytoliths, pollen, and DNA, with an emphasis on macrofloral remains. Laboratory study will include the major classes of plant remains likely to be encountered in archaeological sites. Discussion will emphasize the use of plant remains to answer archaeological questions, rather than study the plant remains for their own sake. Microscope work and computing will be included."""
ANTHRO 138B,Field Production of Ethnographic Film,"This course is devoted to training students in methods of ethnographic field film production. Based on the previous coursework in Anthro 138A, students will work toward the production of an ethnographic video from elected project proposals. In addition to weekly discussions of student projects, guest consultants and lecturers will lend their expertise on aspects of production as well as editing."""
ANTHRO 174AC,California Historical Anthropology,"Combining historical archaeology, ethnohistory, and ethnography, this course will take account of ethnic groups and their interaction in early colonial California; Native Americans; mission, presidio, pueblo, and rancho communities of Spanish/Mexican California; Russian frontier society at Fort Ross; and American expansion into California, especially the Gold Rush. The course will also examine how the colonial past affects ethnic relations and cultural identity among contemporary California Indians."""
ANTHRO 240B,Fundamentals of Anthropological Theory,"Anthropological theory and practice--following the rest of the world--have been undergoing important restructuring in the past decade. The course is organized to reflect this fact. We will begin by looking at recent debates about the nature and purpose of anthropology. This will provide a starting point for reading a series of classic ethnographies in new ways as well as examining some dimensions of the current research agenda in cultural anthropology."""
ANTHRO 250X,"Special Topics: ""Classic Ethnography""",
ANTHRO C273,Science and Technology Studies Research Seminar,"This course will cover methods and approaches for students considering professionalizing in the field of STS, including a chance for students to workshop written work. Also listed as Environ Sci, Policy, and Management C273, Science and Technology Studies C250, and History C251."""
ARCH 129,"Special Topics in Digital Design Theories and Methods: ""The Data Made Me Do It""","Topics cover advanced and research-related issues in digital design and New Media, related to architecture. For current offerings, see department website."""
ARCH 154,Design and Computer Analysis of Structure,"Design and analysis of whole structural building systems with the aid of finite element analytical methods. Advanced structural concepts explored in a laboratory environment."""
ARCH 229,"Special Topics in Digital Design Theories and Methods: ""The Data Made Me Do It""","Selected topics in digital design theories and methods. For current offerings, see departmental website."""
ARCH 229,"Special Topics in Digital Design Theories and Methods: ""Computational Geometry""","Selected topics in digital design theories and methods. For current offerings, see departmental website."""
ARCH 229,Special Topics in Digital Design Theories and Methods,"Selected topics in digital design theories and methods. For current offerings, see departmental website."""
ARCH 271,Methods in Historical Research and Criticism in Architecture,
ART 178,Game Design Methods,"This course offers an introduction to game design and game studies. Game studies has five core elements: the study of games as transmitters of culture, the study of play and interactivity, the study of games as symbolic systems; the study of games as artifacts; and methods for creating games. We will study these core elements through play, play tests, play analysis, and comparative studies. Our reading list includes classic game studies theory and texts which support game design methods. After weekly writing and design exercises, our coursework will culminate in the design and evaluation of an original code-based game with a tangible interface."""
ASTRON 250,Special Topics in Astrophysics,"Topics will vary from semester to semester. See department for announcements."""
BIO ENG C144,Introduction to Protein Informatics,"This course will introduce students to the fundamentals of molecular biology, and to the bioinformatics tools and databases used for the prediction of protein function and structure. It is designed to impart both a theoretical understanding of popular computational methods, as well as some experience with protein sequence analysis methods applied to real data. This class includes no programming, and no programming background is required. Also listed as Plant and Microbial Biology C144."""
BIO ENG C217,Biomimetic Engineering -- Engineering from Biology,"Study of nature's solutions to specific problems with the aim of determining appropriate engineering analogs. Morphology, scaling, and design in organisms applied to engineering structures. Mechanical principles in nature and their application to engineering devices. Mechanical behavior of biological materials as governed by underlying microstructure, with the potential for synthesis into engineered materials. Trade-offs between redundancy and efficiency. Students will work in teams on projects where they will take examples of designs, concepts, and models from biology and determine their potential in specific engineering applications. Also listed as Integrative Biology C217 and Mechanical Engineering C217."""
BIO ENG 221L,BioMEMS and BioNanotechnology Laboratory,"Students will become familiar with BioMEMS and Lab-on-a-Chip research. Students will design and fabricate their own novel micro- or nano-scale device to address a specific problem in biotechnology using the latest micro- and nano-technological tools and fabrication techniques. This will involve an intensive primary literature review, experimental design, and quantitative data analysis. Results will be presented during class presentations and at a final poster symposium."""
BIO ENG 241,Probabilistic Modeling in Computational Biology,"This course reviews the statistical and algorithmic foundations of bioinformatics viewed through the lens of paleogenetics, the science of """"Jurassic Park"""", i.e., the reconstruction of ancient genes and genomes by reverse Bayesian inference under various stochastic models of molecular evolution. Such methods, first proposed in the 1960s by Linus Pauling (and others), are now in reach of practical experimentation due to the falling cost of DNA synthesis technology. Applications of these methods are granting insight into the origin of life and of the human species, and may be powerful tools of synthetic biology. Lectures will review the theoretical content; homework and laboratory exercises will involve writing and applying programs for computational reconstruction of ancient"
BIO ENG C244,Introduction to Protein Informatics,"This course will introduce students to the fundamentals of molecular biology, and to the bioinformatics tools and databases used for the prediction of protein function and structure. It is designed to impart both a theoretical understanding of popular computational methods, as well as some experience with protein sequence analysis methods applied to real data. This class includes no programming, and no programming background required. Also listed as Plant and Microbial Biology C244."""
BIO ENG C265,Principles of Magnetic Resonance Imaging,"Fundamentals of MRI including signal-to-noise ratio, resolution, and contrast as dictated by physics, pulse sequences, and instrumentation. Image reconstruction via 2D FFT methods. Fast imaging reconstruction via convolution-back projection and gridding methods and FFTs. Hardware for modern MRI scanners including main field, gradient fields, RF coils, and shim supplies. Software for MRI including imaging methods such as 2D FT, RARE, SSFP, spiral and echo planar imaging methods. Fundamental tradeoffs of tailoring hardware and pulse sequences to specific applications. The modern MRI """"toolbox"""" will be introduced, including selecting a slice or volume, fast imaging methods to avoid image artifacts due to physiologic motion, and methods for functional imaging. Also listed as El"
BIO ENG C279,Occupational Biomechanics,"Overview of ergonomics and occupational biomechanics. Course covers pathophysiology and risk factors of upper extremity and back loading at work, measurement of force and posture, models for risk assessment, anthropometry applied to task and workstation design, tool design, and structure of successful ergonomics programs. Students will conduct a detailed job analysis and design a workplace intervention. Also listed as Public Health C269C."""
CHEM 220B,Statistical Mechanics,"Principles of statistical mechanics and applications to complex systems."""
CHEM 295,"Special Topics: ""Group Theory and its Applications: Point Groups, Lie Groups and Spinor Groups or Clifford Algebras""","Lecture series on topics of current interest. Recently offered topics: Natural products synthesis, molecular dynamics, statistical mechanics, molecular spectroscopy, structural biophysics, organic polymers, electronic structure of molecules and bio-organic chemistry."""
CHICANO C161,Central American Peoples and Cultures,"A comparative survey of the peoples and cultures of the seven countries of the Central American Isthmus from a historical and contemporary perspective. Also listed as Geography C157."""
CIV ENG 200B,Numerical Methods for Environmental Flow Modeling,"Introduction to numerical methods with application to environmental flows (atmospheric, surface water, and subsurface flows). Scalar advection/ diffusion equations used to study finite difference schemes, numerical errors and stability. Methods introduced for solving Navier-Stokes equations and for turbulence modeling with Reynolds-averaging and large-eddy simulation. Basic programming skills required for hands-on exercises."""
CIV ENG 210A,Control of Water-Related Pathogens,"Comprehensive strategies for the assessment and control of water-related human pathogens (disease-causing microorganisms). Transmission routes and life cycles of common and emerging organisms, conventional and new detection methods (based on molecular techniques), human and animal sources, fate and transport in the environment, treatment and disinfection, appropriate technology, regulatory approaches, water reuse."""
CIV ENG 222,Finite Element Methods,"Approximation theory for analysis of deformation and stress in solids. Finite element formulations for frame, plane stress/strain, axisymmetric, torsion, and three-dimensional elastic problems. The isoparametric formulation and implementation. Plate and shell elements. Finite element modeling of structural systems."""
CIV ENG 226,Stochastic Structural Dynamics,"Introduction to the theory of probability and random processes. Correlation and power spectral density functions. Stochastic dynamic analysis of single- and multi-degree-of-freedom structures subjected to stationary and non-stationary random excitations. Time- and frequency-domain analyses; modal cross-correlations. Response to multi-support excitations. Level crossings, envelope process, first-excursion probability, and distributions of peaks and extremes. Introduction to nonlinear stochastic dynamic analysis. Applications in earthquake, wind, and ocean engineering."""
CIV ENG 256,Transportation Sustainability,"This multi-disciplinary course is intended to introduce students to the fundamentals of sustainable transportation, with an emphasis on: 1) current trends, climate and energy science, and the policy context; 2) methodological and analysis techniques; 3) vehicle technology, fuels, and intelligent transportation systems (ITS) solutions (supply side); and 4) land use, public transportation, and demand management."""
CIV ENG 271,Sensors and Signal Interpretation,"An introduction to the fundamentals of sensor usage and signal processing, and their application to civil systems. In particular, the course focuses on how basic classes of sensors work, and how to go about choosing the best of the new MEMS-based devices for an application. The interpretation of the data focuses on analysis of transient signals, an area typically ignored in traditional signal processing courses. Goals include development of a critical understanding of the assumptions used in common sensing and analysis methods and their implications, strengths, and limitations."""
CIV ENG 290F,Advanced Topics in Seismology,"Active areas of research in applied seismology. Subjects include: anisotropic and viscoelastic wave propagation, borehole seismology, crosswell seismology, including crosswell seismic tomography, vertical seismic profiling, reservoir monitoring including passive seismic methods."""
CIV ENG 290J,Advanced Topics in Geotechnical Engineering,"Advanced treatment of developing areas of geomechanics and geotechnical earthquake engineering, including the development of generalized nonlinear soil constitutive models, new developments in soil dynamics and geotechnical earthquake engineering, soil improvement, geosynthetics and earth structures, and case studies of geotechnical problems."""
COMPSCI 160,User Interface Design and Development,"The design, implementation, and evaluation of user interfaces. User-centered design and task analysis. Conceptual models and interface metaphors. Usability inspection and evaluation methods. Analysis of user study data. Input methods (keyboard, pointing, touch, tangible) and input models. Visual design principles. Interface prototyping and implementation methodologies and tools. Students will develop a user interface for a specific task and target user group in teams."""
COMPSCI 164,Programming Languages and Compilers,"Survey of programming languages. The design of modern programming languages. Principles and techniques of scanning, parsing, semantic analysis, and code generation. Implementation of compilers, interpreters, and assemblers. Overview of run-time organization and error handling."""
COMPSCI 169,Software Engineering,"Ideas and techniques for designing, developing, and modifying large software systems. Function-oriented and object-oriented modular design techniques, designing for re-use and maintainability. Specification and documentation. Verification and validation. Cost and quality metrics and estimation. Project team organization and management. Students will work in teams on a substantial programming project."""
COMPSCI 170,Efficient Algorithms and Intractable Problems,"Concept and basic techniques in the design and analysis of algorithms; models of computation; lower bounds; algorithms for optimum search trees, balanced trees and UNION-FIND algorithms; numerical and algebraic algorithms; combinatorial algorithms. Turing machines, how to count steps, deterministic and nondeterministic Turing machines, NP-completeness. Unsolvable and intractable problems."""
COMPSCI 184,Foundations of Computer Graphics,"Techniques of modeling objects for the purpose of computer rendering: boundary representations, constructive solids geometry, hierarchical scene descriptions. Mathematical techniques for curve and surface representation. Basic elements of a computer graphics rendering pipeline; architecture of modern graphics display devices. Geometrical transformations such as rotation, scaling, translation, and their matrix representations. Homogeneous coordinates, projective and perspective transformations. Algorithms for clipping, hidden surface removal, rasterization, and anti-aliasing. Scan-line based and ray-based rendering algorithms. Lighting models for reflection, refraction, transparency."""
COMPSCI 186,Introduction to Database Systems,"Access methods and file systems to facilitate data access. Hierarchical, network, relational, and object-oriented data models. Query languages for models. Embedding query languages in programming languages. Database services including protection, integrity control, and alternative views of data. High-level interfaces including application generators, browsers, and report writers. Introduction to transaction processing. Database system implementation to be done as term project."""
COMPSCI 189,Introduction to Machine Learning,"Theoretical foundations, algorithms, methodologies, and applications for machine learning. Topics may include supervised methods for regression and classication (linear models, trees, neural networks, ensemble methods, instance-based methods); generative and discriminative probabilistic models; Bayesian parametric learning; density estimation and clustering; Bayesian networks; time series models; dimensionality reduction; programming projects covering a variety of real-world applications."""
COMPSCI 194,"Special Topics: ""Introduction to Data Science""","Topics will vary semester to semester. See the Computer Science Division announcements."""
COMPSCI C219D,Concurrent Models of Computation,"Theory and practice of concurrent models of computation (MoCs) with applications to software systems, embedded systems, and cyber-physical systems. Analysis for boundedness, deadlock, and determinacy; formal semantics (fixed point semantics and metric-space models); composition; heterogeneity; and model-based design. MoCs covered may include process networks, threads, message passing, synchronous/reactive, dataflow, rendezvous, time-triggered, discrete events, and continuous time. Also listed as Electrical Engineering C219D."""
COMPSCI 252,Graduate Computer Architecture,"Graduate survey of contemporary computer organizations covering: early systems, CPU design, instruction sets, control, processors, busses, ALU, memory, I/O interfaces, connection networks, virtual memory, pipelined computers, multiprocessors, and case studies. Term paper or project is required."""
COMPSCI 260A,User Interface Design and Development,"The design, implementation, and evaluation of user interfaces. User-centered design and task analysis. Conceptual models and interface metaphors. Usability inspection and evaluation methods. Analysis of user study data. Input methods (keyboard, pointing, touch, tangible) and input models. Visual design principles. Interface prototyping and implementation methodologies and tools. Students will develop a user interface for a specific task and target user group in teams."""
COMPSCI C281A,Statistical Learning Theory,"Classification regression, clustering, dimensionality, reduction, and density estimation. Mixture models, hierarchical models, factorial models, hidden Markov, and state space models, Markov properties, and recursive algorithms for general probabilistic inference nonparametric methods including decision trees, kernal methods, neural networks, and wavelets. Ensemble methods. Also listed as Statistics C241A."""
COMPSCI C281B,Advanced Topics in Learning and Decision Making,"Recent topics include: Graphical models and approximate inference algorithms. Markov chain Monte Carlo, mean field and probability propagation methods. Model selection and stochastic realization. Bayesian information theoretic and structural risk minimization approaches. Markov decision processes and partially observable Markov decision processes. Reinforcement learning. Also listed as Statistics C241B."""
COMPSCI 294,"Special Topics: ""Introduction to Data Science""","Topics will vary from semester to semester. See Computer Science Division announcements."""
"A,RESEC 212",Econometrics: Multiple Equation Estimation,"Introduction to the estimation and testing of economic models. Includes analysis of the general linear model, asymptotic theory, instrumental variable, and the generalized method of moments. In addition, a survey of time series, analysis, limited dependent variables."""
"A,RESEC 242",Quantitative Policy Analysis,"Production versus predatory government behavior, rent seeking, social waste, and their trade-offs with the provision of growth-promoting public goods. Three failure types are distinguished: market, government, and organizational. The roles of public versus special interests are modeled to determine degree and extent of organizational failures in collective group behavior. Alternative frameworks are used to evaluate various types of policy reform."""
"A,RESEC 262",Non-market Valuation,"The economic concept of value; historical evolution of market and non-market valuation; revealed preference methods: single site demand, multi-site demand, corner solution models, and valuation of quality changes; averting behavior; the hedonic method; contingent valuation; other stated preference methods: ranking, choice, conjoint analysis; the value of life and safety; sampling and questionnaire design for valuation surveys."""
"A,RESEC 264",Empirical Energy and Environmental Economics,"This course is designed to help prepare graduate students to conduct empirical research in energy and environmental economics. The course has two broad objectives. The first is to develop an in-depth understanding of specific empirical methods and research designs that are routinely used in the field of energy and environmental economics. The second is to familiarize students with some of the economic theories and institutions that are most relevant to empirical work in this area."""
ANTHRO 135,Paleoethnobotany: Archaeological Methods and Laboratory Techniques,"An introduction to the basic approaches and techniques in archaeobotanical analysis. A series of different data types and their unique approaches will be discussed, including phytoliths, pollen, and DNA, with an emphasis on macrofloral remains. Laboratory study will include the major classes of plant remains likely to be encountered in archaeological sites. Discussion will emphasize the use of plant remains to answer archaeological questions, rather than study the plant remains for their own sake. Microscope work and computing will be included."""
ANTHRO 138B,Field Production of Ethnographic Film,"This course is devoted to training students in methods of ethnographic field film production. Based on the previous coursework in Anthro 138A, students will work toward the production of an ethnographic video from elected project proposals. In addition to weekly discussions of student projects, guest consultants and lecturers will lend their expertise on aspects of production as well as editing."""
ANTHRO 174AC,California Historical Anthropology,"Combining historical archaeology, ethnohistory, and ethnography, this course will take account of ethnic groups and their interaction in early colonial California; Native Americans; mission, presidio, pueblo, and rancho communities of Spanish/Mexican California; Russian frontier society at Fort Ross; and American expansion into California, especially the Gold Rush. The course will also examine how the colonial past affects ethnic relations and cultural identity among contemporary California Indians."""
ANTHRO 240B,Fundamentals of Anthropological Theory,"Anthropological theory and practice--following the rest of the world--have been undergoing important restructuring in the past decade. The course is organized to reflect this fact. We will begin by looking at recent debates about the nature and purpose of anthropology. This will provide a starting point for reading a series of classic ethnographies in new ways as well as examining some dimensions of the current research agenda in cultural anthropology."""
ANTHRO 250X,"Special Topics: ""Classic Ethnography""",
ANTHRO C273,Science and Technology Studies Research Seminar,"This course will cover methods and approaches for students considering professionalizing in the field of STS, including a chance for students to workshop written work. Also listed as Environ Sci, Policy, and Management C273, Science and Technology Studies C250, and History C251."""
ARCH 129,"Special Topics in Digital Design Theories and Methods: ""The Data Made Me Do It""","Topics cover advanced and research-related issues in digital design and New Media, related to architecture. For current offerings, see department website."""
ARCH 154,Design and Computer Analysis of Structure,"Design and analysis of whole structural building systems with the aid of finite element analytical methods. Advanced structural concepts explored in a laboratory environment."""
ARCH 229,"Special Topics in Digital Design Theories and Methods: ""The Data Made Me Do It""","Selected topics in digital design theories and methods. For current offerings, see departmental website."""
ARCH 229,"Special Topics in Digital Design Theories and Methods: ""Computational Geometry""","Selected topics in digital design theories and methods. For current offerings, see departmental website."""
ARCH 229,Special Topics in Digital Design Theories and Methods,"Selected topics in digital design theories and methods. For current offerings, see departmental website."""
ARCH 271,Methods in Historical Research and Criticism in Architecture,
ART 178,Game Design Methods,"This course offers an introduction to game design and game studies. Game studies has five core elements: the study of games as transmitters of culture, the study of play and interactivity, the study of games as symbolic systems; the study of games as artifacts; and methods for creating games. We will study these core elements through play, play tests, play analysis, and comparative studies. Our reading list includes classic game studies theory and texts which support game design methods. After weekly writing and design exercises, our coursework will culminate in the design and evaluation of an original code-based game with a tangible interface."""
ASTRON 250,Special Topics in Astrophysics,"Topics will vary from semester to semester. See department for announcements."""
BIO ENG C144,Introduction to Protein Informatics,"This course will introduce students to the fundamentals of molecular biology, and to the bioinformatics tools and databases used for the prediction of protein function and structure. It is designed to impart both a theoretical understanding of popular computational methods, as well as some experience with protein sequence analysis methods applied to real data. This class includes no programming, and no programming background is required. Also listed as Plant and Microbial Biology C144."""
BIO ENG C217,Biomimetic Engineering -- Engineering from Biology,"Study of nature's solutions to specific problems with the aim of determining appropriate engineering analogs. Morphology, scaling, and design in organisms applied to engineering structures. Mechanical principles in nature and their application to engineering devices. Mechanical behavior of biological materials as governed by underlying microstructure, with the potential for synthesis into engineered materials. Trade-offs between redundancy and efficiency. Students will work in teams on projects where they will take examples of designs, concepts, and models from biology and determine their potential in specific engineering applications. Also listed as Integrative Biology C217 and Mechanical Engineering C217."""
BIO ENG 221L,BioMEMS and BioNanotechnology Laboratory,"Students will become familiar with BioMEMS and Lab-on-a-Chip research. Students will design and fabricate their own novel micro- or nano-scale device to address a specific problem in biotechnology using the latest micro- and nano-technological tools and fabrication techniques. This will involve an intensive primary literature review, experimental design, and quantitative data analysis. Results will be presented during class presentations and at a final poster symposium."""
BIO ENG 241,Probabilistic Modeling in Computational Biology,"This course reviews the statistical and algorithmic foundations of bioinformatics viewed through the lens of paleogenetics, the science of """"Jurassic Park"""", i.e., the reconstruction of ancient genes and genomes by reverse Bayesian inference under various stochastic models of molecular evolution. Such methods, first proposed in the 1960s by Linus Pauling (and others), are now in reach of practical experimentation due to the falling cost of DNA synthesis technology. Applications of these methods are granting insight into the origin of life and of the human species, and may be powerful tools of synthetic biology. Lectures will review the theoretical content; homework and laboratory exercises will involve writing and applying programs for computational reconstruction of ancient"
BIO ENG C244,Introduction to Protein Informatics,"This course will introduce students to the fundamentals of molecular biology, and to the bioinformatics tools and databases used for the prediction of protein function and structure. It is designed to impart both a theoretical understanding of popular computational methods, as well as some experience with protein sequence analysis methods applied to real data. This class includes no programming, and no programming background required. Also listed as Plant and Microbial Biology C244."""
BIO ENG C265,Principles of Magnetic Resonance Imaging,"Fundamentals of MRI including signal-to-noise ratio, resolution, and contrast as dictated by physics, pulse sequences, and instrumentation. Image reconstruction via 2D FFT methods. Fast imaging reconstruction via convolution-back projection and gridding methods and FFTs. Hardware for modern MRI scanners including main field, gradient fields, RF coils, and shim supplies. Software for MRI including imaging methods such as 2D FT, RARE, SSFP, spiral and echo planar imaging methods. Fundamental tradeoffs of tailoring hardware and pulse sequences to specific applications. The modern MRI """"toolbox"""" will be introduced, including selecting a slice or volume, fast imaging methods to avoid image artifacts due to physiologic motion, and methods for functional imaging. Also listed as El"
BIO ENG C279,Occupational Biomechanics,"Overview of ergonomics and occupational biomechanics. Course covers pathophysiology and risk factors of upper extremity and back loading at work, measurement of force and posture, models for risk assessment, anthropometry applied to task and workstation design, tool design, and structure of successful ergonomics programs. Students will conduct a detailed job analysis and design a workplace intervention. Also listed as Public Health C269C."""
CHEM 220B,Statistical Mechanics,"Principles of statistical mechanics and applications to complex systems."""
CHEM 295,"Special Topics: ""Group Theory and its Applications: Point Groups, Lie Groups and Spinor Groups or Clifford Algebras""","Lecture series on topics of current interest. Recently offered topics: Natural products synthesis, molecular dynamics, statistical mechanics, molecular spectroscopy, structural biophysics, organic polymers, electronic structure of molecules and bio-organic chemistry."""
CHICANO C161,Central American Peoples and Cultures,"A comparative survey of the peoples and cultures of the seven countries of the Central American Isthmus from a historical and contemporary perspective. Also listed as Geography C157."""
CIV ENG 200B,Numerical Methods for Environmental Flow Modeling,"Introduction to numerical methods with application to environmental flows (atmospheric, surface water, and subsurface flows). Scalar advection/ diffusion equations used to study finite difference schemes, numerical errors and stability. Methods introduced for solving Navier-Stokes equations and for turbulence modeling with Reynolds-averaging and large-eddy simulation. Basic programming skills required for hands-on exercises."""
CIV ENG 210A,Control of Water-Related Pathogens,"Comprehensive strategies for the assessment and control of water-related human pathogens (disease-causing microorganisms). Transmission routes and life cycles of common and emerging organisms, conventional and new detection methods (based on molecular techniques), human and animal sources, fate and transport in the environment, treatment and disinfection, appropriate technology, regulatory approaches, water reuse."""
CIV ENG 222,Finite Element Methods,"Approximation theory for analysis of deformation and stress in solids. Finite element formulations for frame, plane stress/strain, axisymmetric, torsion, and three-dimensional elastic problems. The isoparametric formulation and implementation. Plate and shell elements. Finite element modeling of structural systems."""
CIV ENG 226,Stochastic Structural Dynamics,"Introduction to the theory of probability and random processes. Correlation and power spectral density functions. Stochastic dynamic analysis of single- and multi-degree-of-freedom structures subjected to stationary and non-stationary random excitations. Time- and frequency-domain analyses; modal cross-correlations. Response to multi-support excitations. Level crossings, envelope process, first-excursion probability, and distributions of peaks and extremes. Introduction to nonlinear stochastic dynamic analysis. Applications in earthquake, wind, and ocean engineering."""
CIV ENG 256,Transportation Sustainability,"This multi-disciplinary course is intended to introduce students to the fundamentals of sustainable transportation, with an emphasis on: 1) current trends, climate and energy science, and the policy context; 2) methodological and analysis techniques; 3) vehicle technology, fuels, and intelligent transportation systems (ITS) solutions (supply side); and 4) land use, public transportation, and demand management."""
CIV ENG 271,Sensors and Signal Interpretation,"An introduction to the fundamentals of sensor usage and signal processing, and their application to civil systems. In particular, the course focuses on how basic classes of sensors work, and how to go about choosing the best of the new MEMS-based devices for an application. The interpretation of the data focuses on analysis of transient signals, an area typically ignored in traditional signal processing courses. Goals include development of a critical understanding of the assumptions used in common sensing and analysis methods and their implications, strengths, and limitations."""
CIV ENG 290F,Advanced Topics in Seismology,"Active areas of research in applied seismology. Subjects include: anisotropic and viscoelastic wave propagation, borehole seismology, crosswell seismology, including crosswell seismic tomography, vertical seismic profiling, reservoir monitoring including passive seismic methods."""
CIV ENG 290J,Advanced Topics in Geotechnical Engineering,"Advanced treatment of developing areas of geomechanics and geotechnical earthquake engineering, including the development of generalized nonlinear soil constitutive models, new developments in soil dynamics and geotechnical earthquake engineering, soil improvement, geosynthetics and earth structures, and case studies of geotechnical problems."""
COMPSCI 160,User Interface Design and Development,"The design, implementation, and evaluation of user interfaces. User-centered design and task analysis. Conceptual models and interface metaphors. Usability inspection and evaluation methods. Analysis of user study data. Input methods (keyboard, pointing, touch, tangible) and input models. Visual design principles. Interface prototyping and implementation methodologies and tools. Students will develop a user interface for a specific task and target user group in teams."""
COMPSCI 164,Programming Languages and Compilers,"Survey of programming languages. The design of modern programming languages. Principles and techniques of scanning, parsing, semantic analysis, and code generation. Implementation of compilers, interpreters, and assemblers. Overview of run-time organization and error handling."""
COMPSCI 169,Software Engineering,"Ideas and techniques for designing, developing, and modifying large software systems. Function-oriented and object-oriented modular design techniques, designing for re-use and maintainability. Specification and documentation. Verification and validation. Cost and quality metrics and estimation. Project team organization and management. Students will work in teams on a substantial programming project."""
COMPSCI 170,Efficient Algorithms and Intractable Problems,"Concept and basic techniques in the design and analysis of algorithms; models of computation; lower bounds; algorithms for optimum search trees, balanced trees and UNION-FIND algorithms; numerical and algebraic algorithms; combinatorial algorithms. Turing machines, how to count steps, deterministic and nondeterministic Turing machines, NP-completeness. Unsolvable and intractable problems."""
COMPSCI 184,Foundations of Computer Graphics,"Techniques of modeling objects for the purpose of computer rendering: boundary representations, constructive solids geometry, hierarchical scene descriptions. Mathematical techniques for curve and surface representation. Basic elements of a computer graphics rendering pipeline; architecture of modern graphics display devices. Geometrical transformations such as rotation, scaling, translation, and their matrix representations. Homogeneous coordinates, projective and perspective transformations. Algorithms for clipping, hidden surface removal, rasterization, and anti-aliasing. Scan-line based and ray-based rendering algorithms. Lighting models for reflection, refraction, transparency."""
COMPSCI 186,Introduction to Database Systems,"Access methods and file systems to facilitate data access. Hierarchical, network, relational, and object-oriented data models. Query languages for models. Embedding query languages in programming languages. Database services including protection, integrity control, and alternative views of data. High-level interfaces including application generators, browsers, and report writers. Introduction to transaction processing. Database system implementation to be done as term project."""
COMPSCI 189,Introduction to Machine Learning,"Theoretical foundations, algorithms, methodologies, and applications for machine learning. Topics may include supervised methods for regression and classication (linear models, trees, neural networks, ensemble methods, instance-based methods); generative and discriminative probabilistic models; Bayesian parametric learning; density estimation and clustering; Bayesian networks; time series models; dimensionality reduction; programming projects covering a variety of real-world applications."""
COMPSCI 194,"Special Topics: ""Introduction to Data Science""","Topics will vary semester to semester. See the Computer Science Division announcements."""
COMPSCI C219D,Concurrent Models of Computation,"Theory and practice of concurrent models of computation (MoCs) with applications to software systems, embedded systems, and cyber-physical systems. Analysis for boundedness, deadlock, and determinacy; formal semantics (fixed point semantics and metric-space models); composition; heterogeneity; and model-based design. MoCs covered may include process networks, threads, message passing, synchronous/reactive, dataflow, rendezvous, time-triggered, discrete events, and continuous time. Also listed as Electrical Engineering C219D."""
COMPSCI 252,Graduate Computer Architecture,"Graduate survey of contemporary computer organizations covering: early systems, CPU design, instruction sets, control, processors, busses, ALU, memory, I/O interfaces, connection networks, virtual memory, pipelined computers, multiprocessors, and case studies. Term paper or project is required."""
COMPSCI 260A,User Interface Design and Development,"The design, implementation, and evaluation of user interfaces. User-centered design and task analysis. Conceptual models and interface metaphors. Usability inspection and evaluation methods. Analysis of user study data. Input methods (keyboard, pointing, touch, tangible) and input models. Visual design principles. Interface prototyping and implementation methodologies and tools. Students will develop a user interface for a specific task and target user group in teams."""
COMPSCI C281A,Statistical Learning Theory,"Classification regression, clustering, dimensionality, reduction, and density estimation. Mixture models, hierarchical models, factorial models, hidden Markov, and state space models, Markov properties, and recursive algorithms for general probabilistic inference nonparametric methods including decision trees, kernal methods, neural networks, and wavelets. Ensemble methods. Also listed as Statistics C241A."""
COMPSCI C281B,Advanced Topics in Learning and Decision Making,"Recent topics include: Graphical models and approximate inference algorithms. Markov chain Monte Carlo, mean field and probability propagation methods. Model selection and stochastic realization. Bayesian information theoretic and structural risk minimization approaches. Markov decision processes and partially observable Markov decision processes. Reinforcement learning. Also listed as Statistics C241B."""
COMPSCI 294,"Special Topics: ""Introduction to Data Science""","Topics will vary from semester to semester. See Computer Science Division announcements."""
